,Mean Error (kcal/mol),Experimental Val (kcal/mol),Predicted Val (kcal/mol),MAE,STD
0,5.040722549759406,-19.024856596558315,-13.98413404679891,7.113371285749278,9.565915496605584
1,5.040722549759406,-19.024856596558315,-13.98413404679891,7.113371285749278,9.565915496605584
2,4.186167817270779,-16.778202676864243,-12.592034859593465,7.113371285749278,9.565915496605584
3,0.98469553668458,-12.882409177820266,-13.867104714504848,7.113371285749278,9.565915496605584
4,3.9091265224361966,-11.11376673040153,-15.022893252837726,7.113371285749278,9.565915496605584
5,3.7277482435762526,-15.678776290630973,-11.95102804705472,7.113371285749278,9.565915496605584
6,0.6783512764633498,-7.361376673040152,-8.039727949503503,7.113371285749278,9.565915496605584
7,1.1806588327907468,-13.623326959847036,-12.442668127056288,7.113371285749278,9.565915496605584
8,1.578827159582542,-9.847036328871893,-11.425863488454436,7.113371285749278,9.565915496605584
9,6.338588138383387,-1.4340344168260037,-7.7726225552093915,7.113371285749278,9.565915496605584
10,1.0002675977309392,-16.37189292543021,-17.37216052316115,7.113371285749278,9.565915496605584
11,1.5684127807617183,-14.244741873804971,-15.81315465456669,7.113371285749278,9.565915496605584
12,0.8116372000874791,-12.954110898661568,-13.765748098749047,7.113371285749278,9.565915496605584
13,6.262523950171972,-13.981835564053537,-7.7193116138815645,7.113371285749278,9.565915496605584
14,4.802453859814267,-14.866156787762906,-10.06370292794864,7.113371285749278,9.565915496605584
15,7.778137819716852,-13.456022944550668,-5.677885124833816,7.113371285749278,9.565915496605584
16,4.635391089474039,-19.455066921606118,-14.81967583213208,7.113371285749278,9.565915496605584
17,5.847290323523673,-8.460803059273422,-14.308093382797095,7.113371285749278,9.565915496605584
18,6.302954453127335,-18.140535372848948,-11.837580919721614,7.113371285749278,9.565915496605584
19,8.058091012287322,-24.067877629063098,-16.009786616775774,7.113371285749278,9.565915496605584
20,0.7712619482445217,-7.098470363288718,-7.86973231153324,7.113371285749278,9.565915496605584
21,3.304538033888399,-18.642447418738048,-15.33790938484965,7.113371285749278,9.565915496605584
22,0.7303441231838828,-4.995219885277246,-4.2648757620933635,7.113371285749278,9.565915496605584
23,7.900728276765141,-10.826959847036328,-2.926231570271187,7.113371285749278,9.565915496605584
24,5.300915264034818,0.0,-5.300915264034818,7.113371285749278,9.565915496605584
25,1.942285278787123,-32.49999999999999,-34.44228527878712,7.113371285749278,9.565915496605584
26,7.792269932836236,-10.826959847036328,-3.0346899142000914,7.113371285749278,9.565915496605584
27,8.964524351160112,-11.68738049713193,-20.65190484829204,7.113371285749278,9.565915496605584
